name,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
Cliff Levingston,,830,216,16962,13.8,.554,.007,.398,11.5,16.6,14.0,5.9,1.5,2.1,13.5,14.9,23.2,21.0,44.2,.125,-0.6,0.4,-0.2,7.6,
Freddie Lewis,,750,232,24924,15.1,.516,.099,.387,3.8,5.7,5.1,16.4,2.0,0.2,13.5,20.4,32.7,21.2,53.8,.104,-0.3,-0.5,-0.7,2.5,
Mike Lewis,,337,3,10118,17.6,.544,.001,.360,12.3,21.7,17.4,12.7,0.0,0.0,19.1,16.4,14.6,9.8,24.4,.116,-4.4,-0.6,-5.0,0.0,
Quincy Lewis,,159,21,1853,6.7,.454,.190,.159,4.8,9.0,6.9,8.4,1.7,1.5,13.6,17.9,-0.9,1.7,0.8,.020,-4.7,-0.2,-4.9,-1.4,
Rashard Lewis,,1049,842,33541,16.8,.563,.371,.249,5.0,13.9,9.5,8.9,1.8,1.2,10.2,21.1,61.0,29.9,90.9,.130,2.2,-0.3,1.9,33.1,
Reggie Lewis,,450,352,14676,17.1,.538,.021,.274,4.6,10.0,7.4,11.6,1.9,1.7,8.8,23.3,24.1,14.8,38.9,.127,1.0,0.4,1.4,12.4,
Todd Lichti,,237,51,4240,12.2,.517,.049,.306,4.1,8.5,6.2,10.5,1.9,0.6,12.3,19.0,2.5,3.1,5.6,.063,-2.0,-0.4,-2.5,-0.5,
DeAndre Liggins,,177,24,1907,7.3,.484,.380,.255,2.9,11.8,7.5,8.5,2.8,1.3,19.4,10.4,-0.6,2.2,1.6,.040,-4.2,2.0,-2.2,-0.1,
Goose Ligon,,434,,14560,15.9,.533,.006,.526,9.6,17.4,14.3,8.3,1.1,1.3,15.1,15.5,19.8,16.3,36.1,.119,-1.8,-0.8,-2.6,-0.1,
Damian Lillard,,900,900,32614,22.2,.590,.456,.353,1.8,11.0,6.4,30.7,1.3,0.7,11.7,29.0,98.2,20.2,118.4,.174,5.5,-0.9,4.6,54.5,
Jeremy Lin,,480,221,12218,15.3,.548,.302,.383,1.8,10.3,6.0,26.7,2.1,1.1,17.6,22.1,12.7,10.8,23.5,.092,0.0,0.0,0.0,6.2,
